timestamp,robot_state,servo_on,emergency_stopped,safety_stopped,joint_position,joint_velocity,joint_current,joint_temperature,joint_torque,task_position,task_orientation
2026-05-28 11:03:52.993386,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3298.0, -627.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:03:54.031247,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3298.0, -627.0, -93.0, 158.0]","[46.0, 44.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[89.9, 180.0, 89.7]"
2026-05-28 11:03:55.077358,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3298.0, -627.0, -93.0, 158.0]","[46.0, 44.0, 46.0, 56.0, 53.0, 55.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[89.9, 180.0, 89.7]"
2026-05-28 11:03:56.095548,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3282.0, -627.0, -93.0, 158.0]","[46.0, 43.0, 46.0, 55.0, 53.0, 57.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[89.9, 180.0, 89.7]"
2026-05-28 11:03:57.104071,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3282.0, -627.0, -93.0, 158.0]","[45.0, 43.0, 47.0, 55.0, 54.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[89.9, 180.0, 89.7]"
2026-05-28 11:03:58.115065,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[46.0, 43.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:03:59.135230,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 56.0, 54.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:00.174815,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 44.0, 46.0, 56.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:01.215046,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 55.0, 53.0, 57.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:02.263243,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[46.0, 44.0, 46.0, 56.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
